PNET Field,PIBO Field,Name,PNET_Valid,Field_Valid,From
BFWIDTH,BankAngle_,3_BFWIDTH,N,Y,Bankfull
COND_VAL,BankAngle_,B_COND_VAL,N,Y,
CONF_RATIO,BankAngle_,3_CONF_RATIO,N,Y,RCA
CONNECT,BankAngle_,B_CONNECT,Y,Y,
CONV_CODE,BankAngle_,B_CONV_CODE,Y,Y,
DRAREA,BankAngle_,3_DRAREA,N,Y,RCAT-bankfull
ExNtv_Mean,BankAngle_,B_ExNtv_Mean,N,Y,
ExRip_Mean,BankAngle_,B_ExRip_Mean,N,Y,
iGeo_ElMin,BankAngle_,3_ElMin,N,Y,BRAT
iGeo_Slope,BankAngle_,3_iGeo_Slope,N,Y,BRAT
iHyd_SP2,BankAngle_,3_SP2,N,Y,BRAT
iHyd_SPLow,BankAngle_,3_iHyd_SPLow,N,Y,BRAT
LUI,BankAngle_,B_LUI,Y,Y,
NATIV_DEP,BankAngle_,B_NATIV_DEP,N,Y,
NODE_DENS,BankAngle_,2_NODE_DENS,Y,Y,GNAT-threadedness
PRECIP,BankAngle_,3_PRECIP,N,Y,RCAT-bankfull
PredD50_03,BankAngle_,3_D50_3,N,Y,PNET
PredD50_04,BankAngle_,3_D50_4,N,Y,PNET
prop_agr,BankAngle_,B_agr_prop,Y,Y,
prop_conif,BankAngle_,B_conif_prop,Y,Y,
prop_decid,BankAngle_,B_decid_prop,Y,Y,
prop_dev,BankAngle_,B_dev_prop,Y,Y,
prop_deveg,BankAngle_,B_deveg_prop,Y,Y,
prop_exp,BankAngle_,B_exp_prop,Y,Y,
prop_grsh,BankAngle_,B_grsh_prop,Y,Y,
prop_inv,BankAngle_,B_inv_prop,Y,Y,
prop_noch,BankAngle_,B_noch_prop,Y,Y,
RIPAR_DEP,BankAngle_,B_RIPAR_DEP,N,Y,
Sinuosity,BankAngle_,3_Sinuosity,N,Y,Sinuosity
VEG,BankAngle_,B_VEG,N,Y,
BFWIDTH,Bf,Bankfull_Width,N,N,Bankfull
COND_VAL,CountAllSp,1_COND_VAL,N,N,RCA
CONNECT,CountAllSp,1_CONNECT,Y,N,RCA
CONV_CODE,CountAllSp,7_CONV_CODE,Y,N,RVD
ExNtv_Mean,CountAllSp,7_ExNtv_Mean,N,N,RVD
ExRip_Mean,CountAllSp,7_ExRip_Mean,N,N,RVD
LUI,CountAllSp,1_LUI,Y,N,RCA
NATIV_DEP,CountAllSp,7_NATIV_DEP,N,N,RVD
prop_agr,CountAllSp,7_agr_prop,Y,N,RVD
prop_conif,CountAllSp,7_conif_prop,Y,N,RVD
prop_decid,CountAllSp,7_decid_prop,Y,N,RVD
prop_dev,CountAllSp,7_dev_prop,Y,N,RVD
prop_deveg,CountAllSp,7_deveg_prop,Y,N,RVD
prop_exp,CountAllSp,7_exp_prop,Y,N,RVD
prop_grsh,CountAllSp,7_grsh_prop,Y,N,RVD
prop_inv,CountAllSp,7_inv_prop,Y,N,RVD
prop_noch,CountAllSp,7_noch_prop,Y,N,RVD
RIPAR_DEP,CountAllSp,7_RIPAR_DEP,N,N,RVD
COND_VAL,CountIntro,2_COND_VAL,N,Y,RCA
CONNECT,CountIntro,2_CONNECT,Y,Y,RCA
CONV_CODE,CountIntro,9_CONV_CODE,Y,Y,RVD
ExNtv_Mean,CountIntro,9_ExNtv_Mean,N,Y,RVD
ExRip_Mean,CountIntro,9_ExRip_Mean,N,Y,RVD
LUI,CountIntro,2_LUI,Y,Y,RCA
NATIV_DEP,CountIntro,9_NATIV_DEP,N,Y,RVD
prop_agr,CountIntro,9_agr_prop,Y,Y,RVD
prop_conif,CountIntro,9_conif_prop,Y,Y,RVD
prop_decid,CountIntro,9_decid_prop,Y,Y,RVD
prop_dev,CountIntro,9_dev_prop,Y,Y,RVD
prop_deveg,CountIntro,9_deveg_prop,Y,Y,RVD
prop_exp,CountIntro,9_exp_prop,Y,Y,RVD
prop_grsh,CountIntro,9_grsh_prop,Y,Y,RVD
prop_inv,CountIntro,9_inv_prop,Y,Y,RVD
prop_noch,CountIntro,9_noch_prop,Y,Y,RVD
RIPAR_DEP,CountIntro,9_RIPAR_DEP,N,Y,RVD
COND_VAL,CountNativ,3_COND_VAL,N,Y,RCA
CONNECT,CountNativ,3_CONNECT,Y,Y,RCA
CONV_CODE,CountNativ,8_CONV_CODE,Y,Y,RVD
ExNtv_Mean,CountNativ,8_ExNtv_Mean,N,Y,RVD
ExRip_Mean,CountNativ,8_ExRip_Mean,N,Y,RVD
LUI,CountNativ,3_LUI,Y,Y,RCA
NATIV_DEP,CountNativ,8_NATIV_DEP,N,Y,RVD
prop_agr,CountNativ,8_agr_prop,Y,Y,RVD
prop_conif,CountNativ,8_conif_prop,Y,Y,RVD
prop_decid,CountNativ,8_decid_prop,Y,Y,RVD
prop_dev,CountNativ,8_dev_prop,Y,Y,RVD
prop_deveg,CountNativ,8_deveg_prop,Y,Y,RVD
prop_exp,CountNativ,8_exp_prop,Y,Y,RVD
prop_grsh,CountNativ,8_grsh_prop,Y,Y,RVD
prop_inv,CountNativ,8_inv_prop,Y,Y,RVD
prop_noch,CountNativ,8_noch_prop,Y,Y,RVD
RIPAR_DEP,CountNativ,8_RIPAR_DEP,N,Y,RVD
PredD50_03,D50,03_D50,N,N,PNET
PredD50_04,D50,04_D50,N,N,PNET
BFWIDTH,D50_Index,4_BFWIDTH,N,Y,Bankfull
COND_VAL,D50_Index,C_COND_VAL,N,Y,
CONF_RATIO,D50_Index,4_CONF_RATIO,N,Y,RCA
CONNECT,D50_Index,C_CONNECT,Y,Y,
CONV_CODE,D50_Index,C_CONV_CODE,Y,Y,
DRAREA,D50_Index,4_DRAREA,N,Y,RCAT-bankfull
ExNtv_Mean,D50_Index,C_ExNtv_Mean,N,Y,
