OID,OID1,OID_,FID_,Shape_1,POINT_X,POINT_Y,SnapDist,FldRchLen,RchID,pnet_Bankf,fld_Bankf,dif_Bankf,pdif_Bankf,rtio_Bankf,pnet_Slope,fld_Slope,dif_Slope,pdif_Slope,rtio_Slope,pnet_Sinuo,fld_Sinuo,dif_Sinuo,pdif_Sinuo,rtio_Sinuo,pnet_03_D5,fld_03_D5,dif_03_D5,pdif_03_D5,rtio_03_D5,pnet_04_D5,fld_04_D5,dif_04_D5,pdif_04_D5,rtio_04_D5,pnet_Reach,fld_Reach,dif_Reach,pdif_Reach,rtio_Reach,pnet_Deveg,fld_Deveg,dif_Deveg,pdif_Deveg,rtio_Deveg,pnet_G_Inv,fld_G_Inv,dif_G_Inv,pdif_G_Inv,rtio_G_Inv,pnet_X_Inv,fld_X_Inv,dif_X_Inv,pdif_X_Inv,rtio_X_Inv,pnet_R_Inv,fld_R_Inv,dif_R_Inv,pdif_R_Inv,rtio_R_Inv,pnet_Conif,fld_Conif,dif_Conif,pdif_Conif,rtio_Conif,LWFrq,LWVol,RPD_Index,BankAngle_,D50_Index,LWFrq_Inde,PTF6_Index,PoolPct_In,TotalIndex,Geo_Cond,RS_Type
-1,-1,-1,0, ,1261547.699,4977473.409,20,145.8564655,7389,6.597959995,10.75,-4.152040005,0.386236012,0.613763988,0.0124585,0.0112,0.0012585,0.101015002,1.112370014,1.264590025,1.309999943,-0.0454087,0.0346631,0.965336978,0.106650002,0.07,0.036649998,0.343647003,1.523569942,0.079987198,0.07,0.0099872,0.124860004,1.142670035,145.8560028,185.3000031,-39.44350052,0.212862998,0.787136972,0,96.52780151,-96.52780151,1,0,0,16.99279976,-16.99279976,1,0,0,18.38470078,-18.38470078,1,0,0,17.31060028,-17.31060028,1,0,0,47,-47,1,0,0,0,6.35,6.32,4.16,0,5.73,7.09,42.28,good,PCV_LowSin_PlanControlled_DFP
-1,-1,-1,1, ,1244180.581,4990418.162,30,144.455977,7386,3.163820028,4.269999981,-1.106179953,0.259059012,0.740940988,0.0443823,0.033300001,0.0110823,0.249700993,1.332800031,1.045060039,1.169999957,-0.124938004,0.106784999,0.893215001,0.222412005,0.059999999,0.162412003,0.730229974,3.706870079,0.166808993,0.059999999,0.106808998,0.640307009,2.780149937,144.4559937,165.8999939,-21.44400024,0.129259005,0.87074101,0,70.11250305,-70.11250305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.3076987,37,-36.07690048,0.975051999,0.024948001,614.83,76.59,7.64,10,4.74,6.49,7.6,7.2,76.93,good,PCV_Low-mod_PlanControlled_Gravel_Bed
-1,-1,-1,2, ,1281619.471,4993906.98,20,136.190195,7394,5.014050007,2.079999924,2.934050083,0.585165977,2.410599947,0.0180225,0.0121,0.0059225,0.328617007,1.489459991,1.042979956,1.179999948,-0.137024999,0.116122,0.883877993,0.14034,0.006,0.134340003,0.957247019,23.38999939,0.105255,0.006,0.099255003,0.942996025,17.54249954,136.1900024,164.3000031,-28.10980034,0.171087995,0.82891202,0,88.65000153,-88.65000153,1,0,0,9.433159828,-9.433159828,1,0,0,5.821919918,-5.821919918,1,0,0,7.085710049,-7.085710049,1,0,33.3332986,47,-46.66669846,0.992908001,0.0070922,0,0,0.69,10,0,0,0.6,4.19,7.27,good,UCV_Meandering_Gravel_Bed
-1,-1,-1,3, ,1233008.643,4998699.109,10,108.7252508,8018,1.682090044,5.150000095,-3.467910051,0.673380971,0.326618999,0.093664698,0.085699998,0.00796469,0.085033998,1.092939973,1.010619998,1.190000057,-0.179378003,0.150738001,0.849261999,0.418330997,0.119999997,0.298330992,0.713145971,3.486089945,0.313748002,0.119999997,0.193747997,0.617527008,2.614569902,108.7249985,130,-21.27470016,0.163652003,0.836347997,0,102.3450012,-102.3450012,1,0,0,7.456089973,-7.456089973,1,0,0,12.12590027,-12.12590027,1,0,0,7.795770168,-7.795770168,1,0,26.6667008,67,-66.73329926,0.996020019,0.0039801,476.92,90.17,10,10,0,8.75,0,10,64.74,good,PCV_Low-mod_PlanControlled_Gravel_Bed
-1,-1,-1,4, ,1248025.336,5011867.138,10,86.43675719,8007,3.100650072,3.099999905,0.000650072,0.000209657,1.000210047,0.017836099,0.0126,0.0052361,0.293567985,1.415560007,1.130169988,1.629999995,-0.499826014,0.306641996,0.693358004,0.226943001,0.02,0.206943005,0.911872029,11.34710026,0.170206994,0.02,0.150206998,0.882495999,8.510350227,86.4367981,127.5999985,-41.16320038,0.322596014,0.677403986,0,62.07139969,-62.07139969,1,0,0,23.99309921,-23.99309921,1,0,0,19.79920006,-19.79920006,1,0,0,12.65970039,-12.65970039,1,0,0,15,-15,1,0,7.84,0.25,0,0.75,6.49,0,2.85,0.66,0,good,UCV_Meandering_Gravel_Bed
-1,-1,-1,5, ,1245707.146,5018816.296,10,99.71821033,8005,3.061929941,2.950000048,0.111929998,0.036555398,1.037940025,0.069807902,0.074900001,-0.00509206,0.0679847,0.932015002,1.054759979,1.24000001,-0.185236007,0.149384007,0.850615978,0.229812995,0.039999999,0.189813003,0.82594502,5.745329857,0.172359005,0.039999999,0.132358998,0.767925978,4.308979988,99.71820068,118.1999969,-18.48180008,0.15636,0.843640029,0,86.625,-86.625,1,0,0,0.641333997,-0.641333997,1,0,0,0.545404971,-0.545404971,1,0,0,0.454544991,-0.454544991,1,0,100,60,-59,0.983332992,0.016666699,76.14,3.48,10,10,0,5.47,0,10,56.63,moderate,CV_OCC_FPP
-1,-1,-1,6, ,1232561.038,5025645.347,30,131.461598,8013,3.529609919,2.789999962,0.739610016,0.209544003,1.265089989,0.033340201,0.0206,0.0127402,0.382126987,1.618460059,1.090989947,1.25,-0.159012005,0.127208993,0.872790992,0.199361995,0.02,0.179361999,0.899680018,9.968099594,0.149520993,0.02,0.129520997,0.866240025,7.4760499,131.4620056,171.1000061,-39.63840103,0.231667995,0.768332005,0,84.91670227,-84.91670227,1,0,0,8.56581974,-8.56581974,1,0,0,25.57320023,-25.57320023,1,0,0,16.32640076,-16.32640076,1,0,12.5,59,-58.875,0.997880995,0.00211864,52.6,1.37,1.74,7.22,4.59,4.63,5.02,5.55,40.08,moderate,PCV_LowSin_PlanControlled_DFP
-1,-1,-1,7, ,1238434.202,5030309.816,10,121.6458236,8012,3.967380047,12.25,-8.28262043,0.676132023,0.323868006,0.0155448,0.018200001,-0.00265516,0.145888001,0.854112029,1.054620028,1.419999957,-0.365384996,0.257313013,0.742686987,0.177364007,0.02,0.157363996,0.887238026,8.868200302,0.133022994,0.02,0.113022998,0.849650025,6.651150227,121.6460037,169.3999939,-47.75419998,0.281901985,0.718097985,0,61.55950165,-61.55950165,1,0,0,31.77339935,-31.77339935,1,0,0,12.62100029,-12.62100029,1,0,0,13.6736002,-13.6736002,1,0,14.2857,30,-29.85709953,0.995238006,0.0047619,342.38,35.76,2.78,5.69,2.85,9.37,8.65,0,41.55,good,PCV_BedControlled_Gravel_Bed
-1,-1,-1,8, ,1232241.626,5043607.035,10,107.5288998,6973,2.552030087,4.46999979,-1.917969942,0.429075986,0.570923984,0.104657002,0.0832,0.021456599,0.205018997,1.257889986,1.006749988,1.179999948,-0.173249006,0.146821007,0.853178978,0.275730014,0.050000001,0.225730002,0.818663001,5.5145998,0.206797004,0.050000001,0.156797007,0.758216977,4.135940075,107.5289993,127.1999969,-19.67110062,0.154646993,0.845353007,0,107.1429977,-107.1429977,1,0,0,0.444444001,-0.444444001,1,0,0,4.166669846,-4.166669846,1,0,0,1.902780056,-1.902780056,1,0,0,99,-99,1,0,157.23,28.6,10,10,0,7.15,0,10,60.79,moderate,CV_OCC_FPP
-1,-1,-1,9, ,1248559.229,4984550.15,10,142.5315985,7390,4.658880234,6.639999866,-1.98111999,0.298361003,0.701638997,0.024942201,0.0163,0.00864222,0.346489996,1.530200005,1.075889945,1.129999995,-0.054111201,0.047885999,0.952113986,0.151038006,0.050000001,0.101038001,0.668956995,3.020760059,0.113279,0.050000001,0.063279003,0.558611989,2.265579939,142.5319977,158.3000031,-15.76840019,0.099610902,0.900389016,0,92.93419647,-92.93419647,1,0,0,8.339229584,-8.339229584,1,0,0,10.23060036,-10.23060036,1,0,0,8.441180229,-8.441180229,1,0,64.5160973,49,-48.35480118,0.986832976,0.0131666,322.17,65.24,8.26,7.6,7.64,5.49,6.4,7.24,74.39,good,PCV_MeanderingPlanControlled_DFP
